first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,AUG,2022-09-03,2022 World Triathlon Cup Valencia,14,0:51:03,first,136.1,14,Yes,1284.81,No,# 14,On Track to Qualify
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,5,0:50:48,first,274.54,22,Yes,274.54,No,# 22,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-09-03,2022 World Triathlon Cup Valencia,7,0:50:51,first,234.9,26,Yes,647.75,No,# 26,On Track to Qualify
Manoel,Massias,Manoel Massias,Brazil,BRA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,6,1:52:14,first,338.59000000000003,6,Yes,1701.0500000000002,No,# 6,On Track to Qualify
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,3,1:51:42,first,427.81,7,Yes,1642.34,No,# 7,On Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,2,1:51:20,first,462.5,9,Yes,783.36,Yes,# 9,On Track to Qualify
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-09-11,2022 World Triathlon Cup Karlovy Vary,4,1:52:03,first,395.73,11,Yes,914.3,No,# 11,On Track to Qualify
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,1,1:51:10,first,500,15,Yes,1555.58,No,# 15,On Track to Qualify
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,8,1:52:25,first,289.71,17,Yes,1082.7,No,# 17,On Track to Qualify
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,9,1:52:32,first,267.98,25,Yes,971.26,No,# 25,On Track to Qualify
Seth,Rider,Seth Rider,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,15,1:53:01,first,167.86,32,Yes,579.53,Yes,# 32,Not on Track to Qualify
