first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank
Taylor,Knibb,Taylor Knibb,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,3,1:47:58,first,855.63,10,Yes,855.63,Yes,# 10
Emma,Lombardi,Emma Lombardi,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,2,1:47:54,first,925,11,Yes,1459.13,No,# 11
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,17,1:50:32,first,287.26,12,Yes,1015.33,No,# 12
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-10-08,2022 World Triathlon Championship Series Cagliari,9,1:49:11,first,535.96,13,Yes,1205.04,No,# 13
Julie,Derron,Julie Derron,Switzerland,SUI,2022-10-08,2022 World Triathlon Championship Series Cagliari,13,1:49:56,first,392.37,19,Yes,2016.9299999999998,No,# 19
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-10-08,2022 World Triathlon Championship Series Cagliari,21,1:51:25,first,210.3,20,Yes,1594.5800000000002,No,# 20
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-10-08,2022 World Triathlon Championship Series Cagliari,16,1:50:29,first,310.55,21,Yes,1611.98,No,# 21
Emy,Legault,Emy Legault,Canada,CAN,2022-10-08,2022 World Triathlon Championship Series Cagliari,39,1:55:01,first,51.69,22,Yes,1141.56,No,# 22
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,6,1:48:46,first,677.19,24,Yes,1317.3400000000001,Yes,# 24
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,14,1:50:19,first,362.95,25,Yes,853.65,No,# 25
Sandra,Dodet,Sandra Dodet,France,FRA,2022-10-15,2022 World Triathlon Cup Tongyeong,4,1:58:18,first,395.73,26,Yes,1198.54,No,# 26
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-10-29,2022 Americas Triathlon Championships Montevideo,1,2:02:18,first,585,17,Yes,1159.81,No,# 17
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-10-29,2022 Americas Triathlon Championships Montevideo,2,2:02:31,first,519.48,18,Yes,812.15,No,# 18
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-10-29,2022 World Triathlon Cup Miyazaki,1,1:00:43,first,375,21,Yes,1986.98,No,# 21
Emy,Legault,Emy Legault,Canada,CAN,2022-10-29,2022 Americas Triathlon Championships Montevideo,3,2:02:41,first,460.49,22,Yes,1602.05,No,# 22
Sandra,Dodet,Sandra Dodet,France,FRA,2022-10-29,2022 World Triathlon Cup Miyazaki,18,1:02:43,first,99.64,26,Yes,1298.18,No,# 26
Taylor,Spivey,Taylor Spivey,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,5,2:04:05,first,732.09,1,Yes,2710.7200000000003,Yes,# 1
Beth,Potter,Beth Potter,Great Britain,GBR,2022-11-05,2022 World Triathlon Championship Series Bermuda,3,2:03:17,first,855.63,2,Yes,3342.88,No,# 2
Flora,Duffy,Flora Duffy,Bermuda,BER,2022-11-05,2022 World Triathlon Championship Series Bermuda,1,2:01:26,first,1000,5,Yes,2219.8,No,# 5
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2022-11-05,2022 World Triathlon Championship Series Bermuda,22,2:07:45,first,194.53,6,Yes,2010.7500000000002,No,# 6
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,7,2:04:35,first,626.4000000000001,7,Yes,2056.04,No,# 7
Lena,Meißner,Lena Meißner,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,11,2:05:15,first,458.58,8,Yes,1361.23,No,# 8
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,4,2:04:00,first,791.45,9,Yes,2761.34,No,# 9
Taylor,Knibb,Taylor Knibb,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,2,2:03:04,first,925,10,Yes,1780.63,Yes,# 10
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-11-05,2022 World Triathlon Championship Series Bermuda,8,2:04:38,first,579.42,12,Yes,1594.75,No,# 12
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-11-05,2022 World Triathlon Championship Series Bermuda,6,2:04:26,first,677.19,13,Yes,1882.23,No,# 13
Summer,Rappaport,Summer Rappaport,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,25,2:08:51,first,153.96,15,Yes,1476.3000000000002,Yes,# 15
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,9,2:04:53,first,535.96,17,Yes,1695.77,No,# 17
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,15,2:05:58,first,335.73,18,Yes,1147.88,No,# 18
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,12,2:05:27,first,424.19,25,Yes,1277.84,No,# 25
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-13,2022 World Triathlon Cup Vina del Mar,9,0:57:46,first,200.99,17,Yes,1896.76,No,# 17
Sandra,Dodet,Sandra Dodet,France,FRA,2022-11-13,2022 World Triathlon Cup Vina del Mar,1,0:57:13,first,375,26,Yes,1673.18,No,# 26
Taylor,Spivey,Taylor Spivey,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,7,1:57:44,first,783,1,Yes,3493.7200000000003,Yes,# 1
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,2,1:54:28,first,1156.25,3,Yes,3725,No,# 3
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,10,1:58:13,first,619.71,4,Yes,3158.23,No,# 4
Flora,Duffy,Flora Duffy,Bermuda,BER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,1,1:53:24,first,1250,5,Yes,3469.8,No,# 5
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,11,1:58:34,first,573.23,6,Yes,2583.9800000000005,No,# 6
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,9,1:57:56,first,669.95,7,Yes,2725.99,No,# 7
Lena,Meißner,Lena Meißner,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,3,1:55:59,first,1069.53,8,Yes,2430.76,No,# 8
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,34,2:00:59,first,95.41,9,Yes,2856.75,No,# 9
Taylor,Knibb,Taylor Knibb,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,4,1:56:40,first,989.32,10,Yes,2769.9500000000003,Yes,# 10
Emma,Lombardi,Emma Lombardi,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,8,1:57:50,first,724.27,11,Yes,2183.4,No,# 11
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,14,1:58:47,first,453.68,12,Yes,2048.43,No,# 12
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,12,1:58:34,first,530.24,13,Yes,2412.4700000000003,No,# 13
Summer,Rappaport,Summer Rappaport,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,28,2:00:32,first,152.31,15,Yes,1628.6100000000001,Yes,# 15
Leonie,Periault,Leonie Periault,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,5,1:56:51,first,915.12,16,Yes,1799.3400000000001,No,# 16
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,24,2:00:03,first,208.05,17,Yes,2104.81,No,# 17
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,6,1:56:59,first,846.48,18,Yes,1994.3600000000001,No,# 18
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,15,1:59:02,first,419.66,20,Yes,2014.2400000000002,No,# 20
Emy,Legault,Emy Legault,Canada,CAN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,22,1:59:51,first,243.16,22,Yes,1845.21,No,# 22
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,17,1:59:23,first,359.07,24,Yes,1676.41,Yes,# 24
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,21,1:59:47,first,262.87,25,Yes,1540.71,No,# 25
Taylor,Spivey,Taylor Spivey,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,3,0:58:27,first,641.72,1,Yes,4135.4400000000005,Yes,# 1
Beth,Potter,Beth Potter,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,1,0:57:56,first,750,2,Yes,4092.88,No,# 2
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,15,0:59:08,first,251.79,3,Yes,3976.79,No,# 3
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,6,0:58:39,first,507.89,4,Yes,3666.12,No,# 4
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,2,0:58:14,first,693.75,6,Yes,3277.7300000000005,No,# 6
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,12,0:58:58,first,318.14,7,Yes,3044.1299999999997,No,# 7
Lena,Meißner,Lena Meißner,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,5,0:58:39,first,549.07,8,Yes,2979.8300000000004,No,# 8
Emma,Lombardi,Emma Lombardi,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,8,0:58:46,first,434.56,11,Yes,2617.96,No,# 11
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,9,0:58:48,first,401.97,12,Yes,2450.3999999999996,No,# 12
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,10,0:58:53,first,371.82,14,Yes,2393.6600000000003,No,# 14
Summer,Rappaport,Summer Rappaport,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,4,0:58:35,first,593.59,15,Yes,2222.2000000000003,Yes,# 15
Leonie,Periault,Leonie Periault,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,11,0:58:57,first,343.94,16,Yes,2143.28,No,# 16
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,27,0:59:28,first,98.80000000000001,18,Yes,2093.1600000000003,No,# 18
Nina,Eim,Nina Eim,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,7,0:58:45,first,469.8,23,Yes,1799.19,No,# 23
Kirsten,Kasper,Kirsten Kasper,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,25,0:59:28,first,115.47,24,Yes,1791.88,Yes,# 24
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,18,0:59:11,first,199.28,25,Yes,1739.99,No,# 25
Sandra,Dodet,Sandra Dodet,France,FRA,2023-03-25,2023 World Triathlon Cup New Plymouth,24,1:06:02,first,62.42,26,Yes,1735.6000000000001,No,# 26
