first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Summer,Rappaport,Summer Rappaport,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,6,0:55:45,first,253.95,15,Yes,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,25,2:08:51,first,153.96,15,Yes,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,28,2:00:32,first,152.31,15,Yes,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,27,1:53:18,first,131.73,15,No,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-07-09,2022 World Triathlon Championship Series Hamburg,26,0:59:57,first,106.81,15,No,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,46,1:03:37,first,22.46,15,No,
Leonie,Periault,Leonie Periault,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,5,1:56:51,first,915.12,16,Yes,
Leonie,Periault,Leonie Periault,France,FRA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,1,2:05:04,first,500,16,Yes,
Leonie,Periault,Leonie Periault,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,11,0:58:57,first,343.94,16,Yes,
Leonie,Periault,Leonie Periault,France,FRA,2022-09-03,2022 World Triathlon Cup Valencia,3,0:55:24,first,320.86,16,Yes,
Leonie,Periault,Leonie Periault,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,28,1:58:24,first,63.36,16,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-10-29,2022 Americas Triathlon Championships Montevideo,1,2:02:18,first,585,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,9,2:04:53,first,535.96,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-05-28,2022 World Triathlon Cup Arzachena,3,1:00:36,first,320.86,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-06-18,2022 World Triathlon Cup Huatulco*,6,1:00:44,first,253.95,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,24,2:00:03,first,208.05,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-11-13,2022 World Triathlon Cup Vina del Mar,9,0:57:46,first,200.99,17,Yes,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,17,2:08:49,first,143.63,17,No,
