first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Joao,Silva,Joao Silva,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,9,1:45:23,first,669.95,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2022-11-05,2022 World Triathlon Championship Series Bermuda,11,1:50:18,first,458.58,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2022-07-09,2022 World Triathlon Championship Series Hamburg,8,0:53:40,first,434.56,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,10,0:24:07,first,433.79,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2022-06-11,2022 World Triathlon Championship Series Leeds,11,0:54:03,first,343.94,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2022-05-28,2022 World Triathlon Cup Arzachena,26,0:57:10,first,53.4,12,Yes
Joao,Silva,Joao Silva,Portugal,POR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,51,0:56:22,first,15.21,12,No
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,5,1:44:51,first,915.12,13,Yes
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-07-09,2022 World Triathlon Championship Series Hamburg,2,0:53:13,first,693.75,13,Yes
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-10-08,2022 World Triathlon Championship Series Cagliari,11,1:40:56,first,458.58,13,Yes
Matthew,Hauser,Matthew Hauser,Australia,AUS,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,18,0:53:42,first,199.28,13,Yes
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-06-11,2022 World Triathlon Championship Series Leeds,26,0:54:38,first,106.81,13,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,MAR,2022-07-09,2022 World Triathlon Championship Series Hamburg,3,0:53:26,first,641.72,14,Yes
